,complaint_id,date_received,product,issue,company,state,submitted_via,company_response_to_consumer,timely_response,consumer_disputed?,consumer_complaint_narrative,month
190126,1290516,2015-03-19,Debt collection,Cont'd attempts collect debt not owed,"Diversified Consultants, Inc.",NY,Web,Closed with explanation,Yes,No,claimed owe 2700 year despite proof payment sent canceled check unpaid voice 2700 continue insist owe collection agency stop harassment bill already paid four year ago,3
190135,1290492,2015-03-19,Consumer Loan,Managing the loan or lease,M&T Bank Corporation,VA,Web,Closed with explanation,Yes,No,due inconsistency amount owed told bank amount reported credit reporting agency advised write good letter order address issue request negative entry removed credit report together vehicle stolen declared total loss insurance company insurance company gap insurance companypaid outstanding balance loan told bank still balance due loan good faith without received proof still balance made partial payment towards remaining debt sent goodwill letter still offering pay remainder debt exchange removal negative entry credit report one point 2015 per credit monitoring agency showed delinquent balance 000 checked credit report 2015 delinquent balance 140000 pony gap insurance insurance company paid bank say still owe 62000 21000 already paid contracted bank via return receipt mail given courtesy response yet,3
190155,1290524,2015-03-19,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Web,Closed with explanation,Yes,Yes,wage earned job decreased almost half knew trouble home loan began contracting web home loan assistance option early began loan modification process well cargo bank told would assist anything financial home loan fell 90 day behind though time started inquire assistance web week behind began working program called approved variety assistance reached well cargo bank determine could assist well cargo turned assistance finally offered loan modification outcome totally unknown would offered end web assistance well cargo lost paperwork twice process took 2 month time started time paperwork began process kind approval trial period 3 month payment based slightly modified amount roughly 7500 le paying original payment however caseworker web failed tell since payment time full amount original mortgage payment applied loan discovered told creditor could restore line credit something mortgage called found caseworker web told responsibility tell information told could told could come remaining amount 7500 payment would applied instead chose withhold information damage credit even 5 month including 90 day web told fall behind would help without applied payment home loan going 6 month paperwork lost modification penalized loan modification go spoke lawyer working classaction lawsuit web people similar situation said paper loss typical well cargo reduce interest rate reduce payment le 10000 payment behind went back loan property tax also fell behind escort account time payment loan behind property tax damaged credit better payment situation give reason rejected assistance originally told approved agency later phone call well cargo bank told work program often web employee could understand would reject help also spoke said well cargo work program time could understand would feel taken advantage well cargo would like pursue legal action based negligence although payment back track making much money matter time something like happens something unforeseen happens life affect finance,3
190207,1290253,2015-03-19,Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,CA,Web,Closed with explanation,Yes,Yes,open current mortgage chase bank chase reporting loan payment suppressing information reporting loan discharged b mortgage reaffirmed chapter b discharged dated xxxxxxxx2013 chase keep referring b law chapter keep providing documentation chapter account open current payment,3
190208,1292137,2015-03-19,Mortgage,Credit decision / Underwriting,Rushmore Loan Management Services LLC,CA,Web,Closed with explanation,Yes,Yes,submitted time submitted complaint dealt rushmore mortgage directly endeavouring get stop continuous daily call receiving trying collect mortgage responsible due bankruptcy denied knowledge bankruptcy even though spoken repeatedly written repeatedly referencing bankruptcy requesting cease pursuit continued unable trick paying force paying retaliation placed reported credit bureau past due mortgage amount discharged federal court rushmore responded reference complaint indicating would remove reporting bureau yet still would like remove immediately send letter indicating first place going remove bureau rushmore speaking represented new note holder cap involved identified serving agency credit building racial discrimination practice damaging anyone exposed tactic need stop denying intent walking away penalty kind one reason continues please assist procuring resolution,3
190237,1290254,2015-03-19,Mortgage,"Loan servicing, payments, escrow account",Experian,CA,Web,Closed with explanation,Yes,No,experian reporting open current mortgage loan b reporting monthly payment experian expressing information refuse accurately report payment show account open debt officially reinstated chapter b chapter b experian legal right report current status mortgage,3
190238,1290532,2015-03-19,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Web,Closed with explanation,Yes,No,complaint well cargo bank violation term condition federal government mortgage modification program harp violation law include limited following latent miscalculation income adding 25 increase income household contributory even supported fact law document submitted 2 taking longer day deny appeal 3 following guideline application appeal process set forth federal government loan modification 4 well cargo falsely falsely accused customer submitting enough documentation support appeal original denial 5 customer given false conflicting reason denial,3
190251,1290534,2015-03-19,Mortgage,"Loan servicing, payments, escrow account",Ditech Financial LLC,CA,Web,Closed with non-monetary relief,Yes,No,spoke green tree representative 2014 annual escort account disclosure statement reference mi loan received according original document mi 12000 however loan sold green tree month ago noticed green tree deduction escort account 22000 never agree pay green tree supporting document signed reference loan term mi would like taken care soon possible tress think green tree asked expect refund time paying wrong amount called green tree handful time issue also fix letter showing supporting document done believe 60 day calling writing still taken care enough time since brought attention attempt try get honest fair response done believe green tree handling professional manner disappointed getting response matter honesty looking green tree made mistake ready fix compensate something owe mi would brought proof quickly would appreciate kind attempt fix,3
190263,1292209,2015-03-19,Credit card,Other,Bank of America,OR,Web,Closed with monetary relief,Yes,Yes,opened bank america credit card 1520 year ago interest account low time 7 year ago got notice interest changing going prime plus 2 thinkprime going back several bank option close account stay old term cold lock interest rate till paid off new term cold accepting closed account made payment since time never lately history show month past 5 year plus schedule payment online month get confirmation number payment scheduledon xxxxaccounts done year got confirmation number transactionspayment due get call home rude man called i'd say calling card service payment late late charge meant term cold charged getting sent statement thought scan tell owned bank america still nasty threaten day past due got nasty explained schedule payment confirmation hereafter the plus harassing hung called bank america customer service 65hrs later phone people get told internet department saw schedule payment said bank america wrong here100 know fix problemapparently time week put new filling system system update took account put active position payment schedule could find account apply payment made yet new system could apply payment way knowing find account way ask fix issue idea fix problem people installed new updated system input account could seen suppose get call someone corporation level next day address problem never happened spend another 5 hour phone way xxxxphones going call home phone put hold speak supervisor2hrs later never happened called cell phone got supervisor nothing 3 hour asked thing never got asked 2500 credit late fee refused kept reading note put hold come back nothing tried explain needed done would listen 3 hour 12 hour getting filling complaint also concern nothave spoken attorney yet believe right violated get call threaten spoke told internet department bank america fault needed fix told xxxxpayments late fee refuse service refuse wave fee fault confirmation payment always made time never late yet getting called home threaten bank america wrong paying nowthis wrong really feel violated way also found supervisor spoke never recorded ever spoke call enter scarolinaand call never never put note spoke get right allthank time,3
190264,1292159,2015-03-19,Consumer Loan,Taking out the loan or lease,Hyundai Capital America,MS,Web,Closed with explanation,Yes,No,applied loan purchased vehicle month 2014 told would getting good deal vehicle purchased later found interest rate charged loan time almost time average consumer credit score came back speak finance manager leadership let go judging many loan packing many customer interest order make higher commission longer employed company due increasing many loan interest consumer paying leadership today date never contracted inquired would never known truth applied credit score showing approximately thought would get lowest interest rate leadership offered instead received interest rate nearly regular consumer requesting investigation lending loan service company based following discrimination based race color gender charged higher rate consumer different race gender color request immediate investigation loan process time applied show everyday factor practice based race investigate transaction company advertising certain price selling vehicle advertised price like bait switch consumer predator lending clearly everyday factor order finance department make better commission consumer aware process work charged higher rate reason greed fair accurate transaction taken account leadership equal credit opportunity act taken account grammar each bile act taken account purchasing vehicle called back office sign paperwork vehicle possession month told necessary order get military discount never got discount vehicle price vehicle sold advertised later found ledger still trying figure discount charged higher interest rate finance manager deliberately judge loan consumer different race purchased leadership lower interest rate mine lower credit score purchased vehicle today date discount higher interest rate higher price paid vehicle military rate applied later went somewhere else know truly shock see leadership consumer,3
190303,1290543,2015-03-19,Mortgage,"Application, originator, mortgage broker",CIT Bank National Association,NJ,Web,Closed with explanation,Yes,No,disappointed cap help resolve fraudulent loan ak one west case cap,3
190587,1290606,2015-03-19,Credit card,Other,"Mel S. Harris and Associates, LLC",NY,Web,Closed with explanation,Yes,No,harris association used deceptive collection practice attempting collect purchased debt initial contact made discussion solution resolve debt attorney office sent summons appearance court representative advised u worry receive several modification however case filed city court required immediate response avoid default judgment summons used collection tool mutual good faith discussion repay debt representative refused discus reasonable payment arrangement told u deal court inquired summons sent talking agency good faith hung calling back time finally connected supervisor tried tell worry summons inquired reason summons hung hung total time asking speak manager attorney within office debt year old supposedly incurred mother law fixed income care every time requested documentation purification debt told deal court even though assured prior nothing sent filed court advocate mother law dealing consider professional unscrupulous debt collector summons sent solidity subtle threat banishment line mean disposal concern would appear regular occurrence agency attorney office make contact consumer issue summons scare debtor mother law served xxxxxxxx15 started discussing debt xxxxxxxx15 mean ordered discussing good faith option debt harris association using power intimidation summons court system scare tactic collection tool coerce discriminate consumer,3
190710,1290617,2015-03-19,Consumer Loan,Managing the loan or lease,PNC Bank N.A.,MD,Web,Closed with explanation,Yes,No,car loan and bank 2014 sent payment 25000 form money order and bank lost payment misha began submit payment online via bill payment month submitted payment 30000 online release money account proof sent payment and bank still refuse accept payment,3
191015,1290308,2015-03-19,Debt collection,Cont'd attempts collect debt not owed,"Cavalry Investments, LLC",FL,Web,Closed with non-monetary relief,Yes,No,incorrect reporting cavalry portfolio credit report show collection account 140000 knowledge debt requested investigation credit agency creditor got response letter credit agency going update credit report show disputed account number xxxi,3
191294,1290181,2015-03-19,Debt collection,False statements or representation,"Dean Morris, L.L.P.",LA,Web,Closed with explanation,Yes,Yes,lawyer law firm sent letter stating hired bank prosecute legal proceeding enforce security interest collect debt mortgage filed affidavit court declaring hired collect debt bank filed foreclosure bank name bank never loan property paid bank merged two year contracting bank filed affidavit stating bank hire pay firm file foreclosure contracted bank firm tried get dismissed erased record,3
191335,1290282,2015-03-19,Debt collection,Cont'd attempts collect debt not owed,"Meade & Associates, Inc.",KY,Web,Closed,Yes,No,filed police report regarding wallet stolen money credit card driver license u card check immediately went bank closed account reopened new one received new check different account number person stole wallet used debit card since still pending bank able block withdrawal placed fraud alert credit report got new driver license ended getting one new name since married last week received letter meade associate attempting collect debt check written old account old driver license name starting called spoke agreed everything done correctly needed send information bank police report along current driver license requested send copy check written went bank anything specific since nothing actually went account time however new closed account reopened new one presented police report wrote letter give able retrieve police report online monday fixed document along current driver license actual signature well new police report number case filed forgeryfraud department followed call tuesday informed available would return call called wednesday afternoon told left early day without returning call asked anyone else could help transferred obtained document fixed explained wanted finalize clearing ordeal became hateful kept saying needed document already stated still needed affidavit bank stating write check refused listen anything say acted matter sent going make difference point definitely became angry told never call office called bank told going stated know talking bank never sign affidavit nothing actually gone account since immediately blocked transaction due closing account check transaction even clearly say process account found currently waiting case assigned detective filing report claim help prevent aggravation company hope learn ca treat people like criminal victim circumstance especially present fact proof,3
191417,1302072,2015-03-26,Debt collection,Cont'd attempts collect debt not owed,"CMRE Financial Services, Inc.",CA,Web,Closed with explanation,Yes,No,received service healthcare provider year ago recently got call collection agency said debt paid healthcare provider agreement take care filling somehow name thrown mix healthcare agency respond inquiry debt collection agency inquiry debt possibility ruining credit,3
191476,1290820,2015-03-19,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,GA,Web,Closed with explanation,Yes,No,nationstar mortgage withheld money monthly house payment fund escort account pay property tax used fund account pay tax someone else property landing collection county tax department since paid collection showing additional amount part payoff amount meaning charging property tax attorney requested update payoff since error helping told wait refund county contracted county advised refund mortgage company issue said mortgage company request fund owner property erroneously paid nationstar saying make mistake attorney documentation showing issue penalized making impossible finance loan lower interest rate noticed issue spent literally hour trying get resolved many time disconnected given incorrect call back number number route wrong department also gave representative call back number one called back left several message tax department never returned call want move loan company could accomplished left showing owing 600000 mean would come pocket hope reimbursement point,3
